signup_platform,user_created_at,metro,birth_date,first_search_time
android,2019-01-13 12:47:18,Madrid,1998-04-06,2019-07-10 10:16:32
ios,2019-01-18 17:42:35,Madrid,1989-01-14,
android,2019-01-18 14:00:39,Madrid,1989-02-07,2019-01-18 14:47:50
web,2019-01-18 0:38:00,Madrid,1979-05-07,2019-01-18 0:44:09
android,2019-01-18 14:12:56,Madrid,1997-01-15,2019-01-18 14:14:14
ios,2019-01-18 8:26:02,Barcelona,1997-07-12,2019-02-15 17:18:35
android,2019-01-18 9:02:49,Madrid,1988-11-03,2019-02-07 14:53:45
ios,2019-01-18 5:43:16,Madrid,1990-05-29,2019-01-18 5:46:34
ios,2019-01-18 7:12:19,Madrid,1993-06-10,2019-01-18 7:20:37
android,2019-01-18 16:51:21,Barcelona,1992-08-01,2019-05-12 13:25:47
web,2019-01-18 19:13:05,Barcelona,1966-06-06,
web,2019-01-18 9:06:12,Barcelona,1975-09-18,2019-01-18 9:12:10
ios,2019-01-18 13:48:42,Madrid,1991-11-06,2019-01-18 13:51:06
ios,2019-01-18 21:28:41,Madrid,1984-09-30,2019-01-18 21:31:01
web,2019-01-18 20:08:32,Madrid,1984-12-11,2019-02-07 8:45:54
ios,2019-01-18 10:33:39,Madrid,1987-09-12,2019-09-05 14:20:14
android,2019-01-18 9:36:28,Valencia,1988-07-01,2019-01-18 9:39:39
android,2019-01-18 15:01:44,Madrid,1974-06-05,2019-05-15 4:57:39
ios,2019-01-18 11:43:39,Madrid,1997-08-02,2019-04-27 9:57:07
ios,2019-01-18 22:39:27,Barcelona,1993-04-22,
android,2019-01-18 9:34:00,Madrid,1993-02-24,2019-02-24 22:59:47
android,2019-01-18 13:40:22,Barcelona,1999-09-27,
ios,2019-01-18 21:13:24,Madrid,1998-11-02,2019-01-18 21:14:16
ios,2019-01-18 22:45:18,Barcelona,1987-12-05,2019-01-19 0:04:11
android,2019-01-18 11:36:46,Madrid,1990-04-29,2019-06-08 18:47:36
android,2019-01-18 13:49:09,Barcelona,1988-09-30,2019-01-18 13:53:55
android,2019-01-18 21:34:56,Madrid,1998-05-12,
android,2019-01-18 10:10:28,Barcelona,1992-08-15,2019-01-18 10:17:03
android,2019-01-18 14:12:09,Madrid,1980-02-19,2019-01-19 10:06:18
android,2019-01-18 19:25:10,Madrid,1970-01-07,2019-02-21 18:41:00
ios,2019-01-18 18:00:40,Barcelona,1995-03-09,2019-01-18 18:03:08
ios,2019-01-18 22:53:36,Barcelona,1972-02-09,2019-01-18 23:26:50
android,2019-01-18 15:03:13,Barcelona,1998-03-12,2019-01-18 15:08:52
android,2019-01-18 11:45:51,Barcelona,1994-01-27,2019-01-18 11:57:21
android,2019-01-18 14:59:55,Madrid,1990-10-09,2019-01-18 15:43:28
web,2019-01-18 11:56:34,Madrid,1994-10-24,2019-01-19 11:00:39
android,2019-01-18 22:46:51,Barcelona,1989-01-01,2019-03-24 10:50:32
web,2019-01-18 21:48:54,Barcelona,1999-11-23,2019-01-21 17:43:25
web,2019-01-26 15:45:47,Barcelona,1990-07-04,2019-02-12 23:32:57
android,2019-01-26 20:06:33,Madrid,1993-03-25,2019-01-26 20:06:59
android,2019-01-26 22:42:26,Barcelona,1988-10-25,2019-01-26 23:20:15
android,2019-01-26 8:02:32,Madrid,1980-04-26,2019-01-26 22:04:39
ios,2019-01-26 22:13:36,Madrid,1995-06-18,2019-02-09 6:49:10
android,2019-01-26 10:26:32,Barcelona,1992-01-11,2019-01-26 15:48:30
ios,2019-01-26 23:28:25,Madrid,1980-04-04,2019-01-27 9:02:51
web,2019-01-26 19:07:24,Madrid,1992-06-17,2019-01-26 19:08:15
android,2019-01-26 9:28:18,Barcelona,2000-07-28,2019-03-10 18:45:41
ios,2019-01-26 9:04:09,Madrid,1992-09-08,2019-01-26 9:05:31
ios,2019-01-26 12:28:43,Valencia,1991-01-01,2019-01-26 12:33:50
ios,2019-01-26 13:27:58,Barcelona,1989-03-09,2019-01-26 13:30:47
android,2019-01-26 15:31:45,Barcelona,1981-05-15,2019-04-04 11:05:27
android,2019-01-26 23:49:35,Barcelona,1979-06-23,2019-03-20 7:55:57
ios,2019-01-26 18:38:28,Barcelona,1994-03-08,2019-02-06 15:02:41
android,2019-01-26 21:57:02,Madrid,1988-09-24,2019-01-26 21:58:02
android,2019-01-26 21:34:13,Madrid,1992-11-24,
android,2019-01-26 7:42:12,Barcelona,1991-03-31,2019-01-26 7:46:21
ios,2019-01-26 17:24:27,Valencia,1994-04-04,2019-01-26 17:27:20
android,2019-01-26 0:48:00,Madrid,1984-02-14,2019-01-26 0:53:16
ios,2019-01-26 15:39:15,Madrid,1992-01-01,2019-01-26 15:48:04
android,2019-01-26 9:58:53,Valencia,1985-02-25,2019-03-27 16:48:15
ios,2019-01-26 16:42:37,Madrid,1997-02-05,2019-01-26 16:48:44
web,2019-01-23 19:18:47,Madrid,1994-05-03,2019-01-24 21:53:48
ios,2019-01-26 16:25:31,Madrid,1988-08-31,2019-01-26 16:31:50
ios,2019-01-26 11:54:09,Barcelona,1993-02-19,2019-01-26 11:57:52
ios,2019-01-26 14:31:40,Madrid,1986-10-22,2019-02-08 17:04:10
android,2019-01-26 12:34:31,Barcelona,1992-02-18,2019-01-29 1:44:57
ios,2019-01-26 19:00:01,Valencia,1990-12-20,2019-01-26 19:02:43
android,2019-01-26 6:13:05,Barcelona,1977-05-26,2019-01-26 6:14:03
ios,2019-01-26 23:13:35,Barcelona,1991-07-29,2019-01-26 23:25:34
android,2019-01-26 23:27:02,Madrid,1970-06-13,2019-02-08 0:10:37
ios,2019-01-26 20:36:46,Barcelona,1976-07-14,2019-04-06 8:05:48
android,2019-01-26 13:16:34,Madrid,1999-04-28,2019-01-26 13:16:55
android,2019-01-26 11:13:57,Madrid,1995-03-05,2019-01-26 11:21:01
ios,2019-01-26 17:31:53,Madrid,1991-05-21,2019-01-26 17:34:57
android,2019-01-28 14:41:22,Madrid,1978-08-29,2019-02-01 6:49:23
android,2019-01-28 12:54:20,Barcelona,1991-09-03,2019-01-28 19:45:55
android,2019-01-28 11:11:22,Barcelona,1992-05-21,2019-01-28 13:25:29
ios,2019-01-28 20:55:45,Barcelona,1993-11-26,2019-01-28 22:48:04
android,2019-01-28 16:55:33,Barcelona,1980-09-16,2019-02-09 14:44:14
android,2019-01-28 7:01:23,Barcelona,1990-06-22,2019-02-12 22:48:39
ios,2019-01-28 21:18:17,Barcelona,1986-02-23,2019-01-28 21:22:24
android,2019-01-28 17:30:51,Barcelona,1992-02-24,2019-01-28 17:35:11
ios,2019-01-28 21:55:06,Madrid,1991-10-09,2019-01-28 22:20:05
android,2019-01-28 18:28:43,Madrid,1985-02-05,2019-02-07 21:18:04
ios,2019-01-28 18:27:33,Barcelona,1977-01-15,2019-01-28 18:35:05
android,2019-01-28 23:36:18,Madrid,1981-07-06,2019-01-29 0:20:08
android,2019-01-28 16:02:23,Madrid,1987-06-01,2019-03-20 15:35:39
android,2019-01-28 11:05:13,Madrid,1998-09-15,2019-01-28 11:11:15
ios,2019-01-28 10:01:49,Barcelona,1991-10-31,
web,2019-01-28 17:34:40,Valencia,1992-02-04,2019-01-28 17:34:59
web,2019-01-28 17:32:45,Valencia,1990-02-25,2019-02-12 9:20:25
android,2019-01-28 21:50:10,Madrid,1991-06-24,2019-01-28 21:51:42
android,2019-01-28 20:56:09,Barcelona,1990-08-21,2019-01-28 20:57:36
ios,2019-01-28 17:24:37,Madrid,1981-02-13,2019-01-28 17:37:43
ios,2019-01-28 16:05:52,Madrid,1993-04-14,2019-02-08 17:16:11
android,2019-01-28 19:27:23,Valencia,1996-12-19,2019-02-05 14:17:59
android,2019-01-28 14:36:25,Barcelona,1993-05-10,2019-01-28 14:41:07
android,2019-01-28 0:34:07,Barcelona,1994-06-30,2019-01-28 0:36:35
ios,2019-01-28 21:59:02,Barcelona,1997-09-11,2019-01-28 22:09:59
web,2019-01-28 22:53:09,Valencia,1997-11-07,2019-01-28 23:03:56
web,2019-01-28 16:07:32,Madrid,1989-07-17,2019-01-28 16:08:29
android,2019-01-28 12:53:22,Madrid,1995-02-06,2019-01-28 12:53:43
android,2019-01-28 11:22:40,Madrid,1990-11-29,2019-01-28 11:25:53
ios,2019-01-28 4:37:29,Barcelona,1993-01-21,2019-01-28 4:49:21
android,2019-01-28 15:29:27,Barcelona,1977-12-17,2019-01-28 15:42:05
android,2019-01-28 16:58:44,Barcelona,1998-03-24,2019-01-28 19:34:32
android,2019-01-28 19:57:13,Barcelona,1991-09-21,2019-01-28 20:14:13
android,2019-01-28 8:22:25,Barcelona,1982-08-27,2019-02-06 22:38:05
android,2019-01-28 17:11:55,Valencia,1990-12-16,2019-01-28 17:17:10
ios,2019-01-28 20:29:14,Barcelona,1994-08-24,
android,2019-01-28 19:18:13,Valencia,1991-10-23,2019-02-18 13:47:37
android,2019-01-28 22:07:07,Barcelona,1995-05-16,2019-05-14 8:36:32
ios,2019-01-28 21:54:37,Madrid,2000-04-24,2019-01-28 22:02:37
ios,2019-01-28 19:58:39,Barcelona,1990-05-02,
android,2019-01-28 22:02:35,Madrid,1980-02-19,2019-01-28 22:04:46
ios,2019-01-28 14:52:50,Barcelona,1987-06-17,2019-03-29 8:09:29
ios,2019-01-28 17:10:34,Valencia,1983-06-30,2019-01-28 17:15:46
android,2019-01-28 18:04:48,Madrid,1995-05-03,2019-01-28 18:15:17
android,2019-01-28 23:25:06,Barcelona,1968-12-17,2019-01-28 23:44:55
android,2019-01-28 18:05:56,Barcelona,1996-04-26,2019-01-28 18:07:34
ios,2019-01-28 18:02:15,Barcelona,1991-02-06,2019-01-28 18:14:12
ios,2019-01-28 16:52:29,Barcelona,2000-02-23,2019-02-19 9:07:56
android,2019-02-04 23:11:34,Valencia,1982-02-25,2019-02-04 23:16:48
android,2019-01-24 20:32:04,Madrid,1989-03-08,2019-02-17 20:21:13
web,2019-01-24 12:56:21,Barcelona,1984-10-10,2019-03-20 15:36:29
ios,2019-01-13 9:22:39,Barcelona,1990-06-08,2019-01-24 22:05:34
android,2019-01-13 17:08:47,Madrid,1991-06-30,2019-01-13 17:10:52
web,2019-01-24 20:29:30,Barcelona,1992-06-23,
web,2019-01-13 21:12:59,Madrid,1991-05-13,2019-01-13 21:26:06
web,2019-01-24 14:52:40,Barcelona,1961-03-01,
android,2019-01-13 11:35:07,Madrid,1994-08-10,2019-01-13 11:40:36
android,2019-01-13 20:59:48,Madrid,1982-05-17,2019-01-14 6:52:43
android,2019-01-13 10:34:13,Madrid,1996-04-24,2019-01-13 10:35:29
ios,2019-01-24 21:24:41,Barcelona,1984-05-18,2019-02-13 13:41:56
android,2019-01-24 5:12:59,Madrid,1988-09-28,2019-01-24 5:15:57
android,2019-01-13 18:29:29,Madrid,1995-01-31,2019-01-13 19:10:48
android,2019-01-13 17:52:48,Madrid,1965-12-04,2019-01-13 18:08:00
android,2019-01-13 12:36:36,Valencia,1996-12-31,2019-01-18 20:44:03
ios,2019-01-13 20:47:39,Barcelona,1997-01-04,2019-01-15 11:13:41
